source,name,platform,completion_percent,bronze_earned,silver_earned,gold_earned,platinum_earned,bronze_total,silver_total,gold_total,platinum_total,last_updated,hours_played
PSN,Hole Digging Master,PS5,90.3,14,10,4,0,14,10,6,1,2025-09-27 17:53:13+00:00,
PSN,Raft,PS5,74.4,23,6,3,0,30,8,4,1,2025-09-09 19:55:54+00:00,
PSN,Marvel's Midnight Suns,PS5,72.2,43,6,3,0,54,13,4,1,2025-07-31 19:41:59+00:00,
PSN,Nobody Saves the World,PS5,70.7,19,8,2,0,23,12,5,1,2025-03-16 13:18:43+00:00,
PSN,PlateUp!,PS5,66.7,10,5,3,0,10,10,6,1,2025-05-17 19:52:12+00:00,
PSN,ReadySet Heroes,PS4,52.9,3,4,2,0,3,4,9,1,2025-03-09 09:46:57+00:00,
PSN,Hogwarts Legacy,PS5,52.2,18,6,0,0,28,15,2,1,2024-03-20 10:29:15+00:00,
PSN,Cult of the Lamb,PS5,50.9,14,13,2,0,31,21,4,1,2025-03-06 20:57:02+00:00,
PSN,It Takes Two,PS5,38.1,5,0,3,0,10,0,10,1,2025-02-15 16:59:46+00:00,
PSN,Vampire Survivors,PS5,33.6,68,14,0,0,167,61,15,1,2025-10-05 12:29:42+00:00,
PSN,Unravel Two,PS4,31.0,9,0,0,0,12,10,6,1,2025-02-09 18:04:44+00:00,
PSN,Untitled Goose Game,PS4,24.0,1,0,5,0,14,1,9,1,2025-03-22 15:50:17+00:00,
PSN,Heavenly Bodies,PS5,23.1,6,0,0,0,14,4,7,1,2025-03-17 19:55:16+00:00,
PSN,Unrailed!,PS4,22.6,11,1,0,0,37,11,4,1,2025-08-02 19:40:13+00:00,
PSN,Marvel's Guardians of the Galaxy,PS5,20.3,12,0,0,0,54,3,1,1,2021-12-19 11:56:00+00:00,
PSN,Warhammer - Chaosbane,PS5,18.2,8,0,0,0,29,11,3,1,2025-03-17 21:38:20+00:00,
PSN,Stranded Deep,PS4,13.9,4,0,1,0,20,10,5,1,2025-04-23 15:59:24+00:00,
PSN,Assassin's Creed® Valhalla,PS5,11.8,11,0,0,0,61,30,1,1,2025-03-23 20:29:29+00:00,
PSN,"Overcooked! All You Can Eat
",PS5,11.6,4,1,0,0,28,11,3,1,2022-08-07 10:54:32+00:00,
PSN,Human Fall Flat,PS5,11.6,12,1,0,0,96,14,1,1,2022-08-01 17:43:32+00:00,
PSN,Tiny Tina's Wonderlands,PS5,10.6,5,0,0,0,37,4,5,1,2022-04-24 19:18:35+00:00,
PSN,Cat Quest II,PS4,10.0,2,0,0,0,6,5,8,1,2025-03-16 20:04:37+00:00,
PSN,DYSMANTLE,PS5,8.6,3,0,0,0,14,16,4,1,2025-08-16 21:24:55+00:00,
